species	speciations	duplications	losses
Node_Maniola_hyperantus_Maniola_jurtina_0	2	0	2
Node_Melitaea_cinxia_Nymphalis_io_0	4	1	1
Node_Musca_domestica_Musca_vetustissima_0	17	5	5
Node_Neodiprion_fabricii_Neodiprion_lecontei_0	3	1	1
Node_Neodiprion_fabricii_Neodiprion_virginianus_0	3	0	0
Node_Neodiprion_lecontei_Neodiprion_pinetum_0	2	0	1
Node_Nymphalis_io_Vanessa_cardui_0	3	0	1
Node_Ochlerotatus_camptorhynchus_Armigeres_subalbatus_0	9	1	2
Node_Onthophagus_taurus_Dalotia_coriaria_0	4	0	1
Node_Onthophagus_taurus_Tenebrio_molitor_0	5	0	1
Node_Orussus_abietinus_Belonocnema_kinseyi_0	1	0	1
Node_Ostrinia_furnacalis_Ostrinia_nubilalis_0	5	1	1
Node_Papilio_machaon_Papilio_xuthus_0	4	0	1
Node_Papilio_polytes_Papilio_machaon_0	5	0	1
Node_Parnassius_apollo_Leptidea_sinapis_0	7	0	4
Node_Parnassius_apollo_Papilio_polytes_0	6	3	4
Node_Pediculus_humanus_corporis_Athalia_rosae_0	14	0	2
Node_Periplaneta_americana_Zootermopsis_nevadensis_0	7	0	2
Node_Phlebotomus_argentipes_Phlebotomus_papatasi_0	6	0	0
Node_Pieris_brassicae_Pieris_napi_0	3	0	0
Node_Pieris_rapae_Pieris_brassicae_0	3	0	1
Node_Planococcus_citri_Adelges_cooleyi_0	0	0	1
Node_Plutella_xylostella_Culicoides_brevitarsis_0	12	0	3
Node_Plutella_xylostella_Leguminivora_glycinivorella_0	4	1	9
Node_Polistes_dominula_Ampulex_compressa_0	0	0	1
Node_Procambarus_clarkii_Eriocheir_sinensis_0	2	0	1
Node_Procambarus_clarkii_Folsomia_candida_0	3	2	0
Node_Rhodnius_prolixus_Apolygus_lucorum_0	6	0	0
Node_Rhynchophorus_ferrugineus_Sitophilus_oryzae_0	3	0	3
Node_Sabethes_cyaneus_Wyeomyia_smithii_0	7	0	1
Node_Scaptodrosophila_lebanonensis_Drosophila_sulfurigaster_albostrigata_0	17	2	7
Node_Spodoptera_frugiperda_Spodoptera_litura_0	4	0	1
Node_Stomoxys_calcitrans_Musca_domestica_0	17	3	3
Node_Tenebrio_molitor_Coccinella_septempunctata_0	6	3	2
Node_Tenebrio_molitor_Tribolium_castaneum_0	3	0	3
Node_Tenebrio_molitor_Zophobas_morio_0	3	0	0
Node_Toxorhynchites_rutilus_septentrionalis_Anopheles_coustani_0	8	4	4
Node_Toxorhynchites_rutilus_septentrionalis_Uranotaenia_lowii_0	9	2	1
Node_Tribolium_castaneum_Tribolium_madens_0	4	1	0
Node_Trichoplusia_ni_Helicoverpa_armigera_0	5	1	1
Node_Uranotaenia_lowii_Malaya_genurostris_0	11	2	0
Node_Vanessa_atalanta_Vanessa_tameamea_0	2	0	0
Node_Vanessa_cardui_Vanessa_atalanta_0	2	0	1
Node_Venturia_canescens_Aphidius_gifuensis_0	1	0	0
Node_Zeugodacus_cucurbitae_Bactrocera_tryoni_0	13	0	2
Node_Zootermopsis_nevadensis_Coptotermes_formosanus_0	4	0	3
Nymphalis_io	2	0	1
Ochlerotatus_camptorhynchus	5	0	4
Onthophagus_taurus	6	3	1
Orussus_abietinus	0	0	1
Ostrinia_furnacalis	6	1	0
Ostrinia_nubilalis	5	0	0
Papilio_machaon	4	0	0
Papilio_polytes	5	0	0
Papilio_xuthus	4	1	1
Pararge_aegeria	2	0	2
Parnassius_apollo	8	3	1
Pectinophora_gossypiella	5	0	1
Pediculus_humanus_corporis	1	0	13
Periplaneta_americana	8	4	3
Phlebotomus_argentipes	4	0	2
Phlebotomus_papatasi	3	0	3
Photinus_pyralis	1	0	1
Pieris_brassicae	3	0	0
Pieris_napi	3	0	0
Pieris_rapae	3	0	0
Plodia_interpunctella	3	0	1
Plutella_xylostella	2	0	2
Polypedilum_vanderplanki	9	5	1
Procambarus_clarkii	8	6	0
Rhodnius_prolixus	3	0	3
Rhynchophorus_ferrugineus	5	2	0
Sabethes_cyaneus	9	3	1
Scaptodrosophila_lebanonensis	19	9	7
Scylla_paramamosain	2	1	0
Sitodiplosis_mosellana	1	0	0
Sitophilus_oryzae	1	0	2
Spodoptera_frugiperda	4	0	0
Spodoptera_litura	4	0	0
Stomoxys_calcitrans	29	17	5
Tenebrio_molitor	2	0	1
Thrips_palmi	6	3	3
Topomyia_yanbarensis	6	1	1
Toxorhynchites_rutilus_septentrionalis	3	0	6
Tribolium_castaneum	4	0	0
Tribolium_madens	1	0	3
Trichoplusia_ni	4	0	1
Uranotaenia_lowii	7	2	6
Vanessa_atalanta	2	0	0
Vanessa_cardui	2	0	0
Vanessa_tameamea	2	0	0
Venturia_canescens	0	0	1
Wyeomyia_smithii	8	1	0
Zerene_cesonia	3	0	0
Zeugodacus_cucurbitae	17	7	3
Zootermopsis_nevadensis	3	0	1
Zophobas_morio	4	1	0
