species_label	speciations	duplications	losses
Node_Trichogramma_pretiosum_Copidosoma_floridanum_0	2	0	1
Node_Trichoplusia_ni_Helicoverpa_armigera_0	3	0	3
Node_Uranotaenia_lowii_Malaya_genurostris_0	3	1	0
Node_Vanessa_atalanta_Vanessa_tameamea_0	3	0	0
Node_Vanessa_cardui_Vanessa_atalanta_0	3	0	1
Node_Venturia_canescens_Aphidius_gifuensis_0	3	0	1
Node_Vespa_crabro_Vespa_mandarinia_0	1	0	0
Node_Vespa_velutina_Vespa_crabro_0	1	0	0
Node_Vespula_pensylvanica_Vespa_velutina_0	1	0	0
Node_Vespula_pensylvanica_Vespula_vulgaris_0	1	0	0
Node_Vollenhovia_emeryi_Monomorium_pharaonis_0	5	2	0
Node_Vollenhovia_emeryi_Temnothorax_curvispinosus_0	5	0	0
Node_Wasmannia_auropunctata_Cyphomyrmex_costatus_0	5	0	0
Node_Zeugodacus_cucurbitae_Bactrocera_tryoni_0	2	0	0
Node_Zootermopsis_nevadensis_Coptotermes_formosanus_0	6	0	1
Nomia_melanderi	1	0	0
Nylanderia_fulva	1	0	3
Nymphalis_io	3	0	1
Ochlerotatus_camptorhynchus	1	0	1
Odontomachus_brunneus	1	0	0
Onthophagus_taurus	5	1	2
Ooceraea_biroi	1	0	1
Orussus_abietinus	1	0	3
Osmia_bicornis_bicornis	1	0	0
Osmia_lignaria	2	1	0
Ostrinia_furnacalis	4	0	0
Ostrinia_nubilalis	4	0	0
Papilio_machaon	3	0	1
Papilio_polytes	5	2	1
Papilio_xuthus	3	0	1
Pararge_aegeria	3	0	0
Parnassius_apollo	6	2	1
Pectinophora_gossypiella	3	0	1
Pediculus_humanus_corporis	3	0	11
Periplaneta_americana	7	2	2
Phlebotomus_argentipes	1	0	0
Phlebotomus_papatasi	0	0	1
Photinus_pyralis	7	2	2
Phymastichus_coffea	1	0	0
Pieris_brassicae	5	1	0
Pieris_napi	4	0	0
Pieris_rapae	4	0	0
Planococcus_citri	4	0	2
Plodia_interpunctella	3	0	0
Plutella_xylostella	1	0	3
Pogonomyrmex_barbatus	1	0	2
Polistes_canadensis	1	0	0
Polistes_dominula	1	0	0
Polistes_fuscatus	1	0	0
Polypedilum_vanderplanki	2	0	0
Procambarus_clarkii	4	1	0
Pseudomyrmex_gracilis	1	0	1
Rhodnius_prolixus	2	1	2
Rhopalosiphum_maidis	3	0	0
Rhopalosiphum_padi	3	0	0
Rhynchophorus_ferrugineus	2	0	0
Sabethes_cyaneus	2	0	0
Scaptodrosophila_lebanonensis	5	0	1
Scylla_paramamosain	2	1	1
Sipha_flava	3	0	1
Sitodiplosis_mosellana	1	0	0
Sitophilus_oryzae	3	1	0
Solenopsis_invicta	3	0	0
Spodoptera_frugiperda	3	0	0
Spodoptera_litura	3	0	0
Stomoxys_calcitrans	3	0	0
Temnothorax_curvispinosus	3	1	1
Temnothorax_longispinosus	3	0	0
Tenebrio_molitor	10	6	4
Thrips_palmi	4	0	1
Topomyia_yanbarensis	2	0	0
Toxorhynchites_rutilus_septentrionalis	2	0	0
Trachymyrmex_septentrionalis	3	0	0
